ID,TEAM,TOPQTR_OVERALL_EFF,OFF_EFFICIENCY,DEFENSE_EFFICIENTY,SPECIALTEAM_EFFICIENCY,OVERALL_EFFICIENT,DEFENSE_YDS,DEFENSE_YDSG,DEFENSE_PASS,DEFENSE_PYDSG,DEFENSE_RUSH,DEFENSE_R_YDSG,DEFENSE_PTS,DEFENSE_PTSG,OFF_YDS,OFF_YDS_GAME,OFF_PASS,OFF_PASS_YDS_GAME,OFF_RUSH,OFF_RUSH_YDS_GAME,OFF_POINTS,OFF_POINTS_GAME
3,"Alabama, SEC",1,74.7,91.6,61.7,90,3356,258,2394,184.2,962,74,187,14.4,6406,427,3407,227.1,2999,199.9,526,35.1
22,"Clemson, ACC",1,83.9,84.1,30.8,86.3,3844,296,2170,166.9,1674,128.8,263,20.2,7718,515,4373,291.5,3345,223,577,38.5
75,"Oklahoma, Big 12",1,81.2,80.2,44.3,84.8,4208,351,2418,201.5,1790,149.2,249,20.8,6893,530,4006,308.2,2887,222.1,566,43.5
77,"Ole Miss, SEC",1,85.4,73,45.9,84,4650,388,3061,255.1,1589,132.4,274,22.8,6731,518,4351,334.7,2380,183.1,531,40.8
80,"OSU, Big Ten",1,69.4,80,70.4,82.8,3642,304,2114,176.2,1528,127.3,168,14,5643,434,2455,188.8,3188,245.2,464,35.7
92,"Stanford, Pac-12",1,84.1,60.5,65.7,80.7,4869,375,2959,227.6,1910,146.9,300,23.1,6097,436,2965,211.8,3132,223.7,529,37.8
12,"Baylor, Big 12",1,82.7,67.3,35.3,79.2,4668,389,2792,232.7,1876,156.3,330,27.5,8011,616,3764,289.5,4247,326.7,625,48.1
72,"Notre Dame, FBS Indep.",1,85.1,54.1,68.5,79,4349,362,2351,195.9,1998,166.5,269,22.4,6063,466,3364,258.8,2699,207.6,445,34.2
110,"UNC, ACC",1,84.1,57.6,69.9,78.7,5347,411,2529,194.5,2818,216.8,294,22.6,6817,487,3675,262.5,3142,224.4,570,40.7
96,"Tennessee, SEC",1,71.5,68.7,70.9,77.9,4445,370,2606,217.2,1839,153.3,254,21.2,5490,422,2582,198.6,2908,223.7,457,35.2
58,"Michigan, Big Ten",1,70.6,71,65.1,77.5,3376,281,1905,158.8,1471,122.6,206,17.2,5147,396,3090,237.7,2057,158.2,408,31.4
61,"Miss St, SEC",1,78,65.6,48.5,76.3,4661,388,2601,216.8,2060,171.7,274,22.8,5986,460,4113,316.4,1873,144.1,447,34.4
51,"LSU, SEC",1,73.8,70.4,43.2,75.3,3767,342,2321,211,1446,131.5,264,24,5247,437,2165,180.4,3082,256.8,394,32.8
8,"Arkansas, SEC",1,88.4,44.3,49.9,74.9,4849,404,3414,284.5,1435,119.6,333,27.8,6051,465,3486,268.2,2565,197.3,467,35.9
121,"W Kentucky, C-USA",1,84.5,49.8,55.1,74.2,5076,390,3048,234.5,2028,156,328,25.2,7369,526,5211,372.2,2158,154.1,620,44.3
32,"FSU, ACC",1,70,70.3,48.8,73.8,3932,328,2230,185.8,1702,141.8,189,15.8,5512,424,3325,255.8,2187,168.2,412,31.7
64,"Navy, American",1,79.5,55.9,48.7,73.1,4409,367,2748,229,1661,138.4,256,21.3,5527,425,1280,98.5,4247,326.7,478,36.8
94,"TCU, Big 12",1,67.4,70.1,53.1,73.1,4760,397,2572,214.3,2188,182.3,313,26.1,7317,563,4517,347.5,2800,215.4,547,42.1
79,"Oregon, Pac-12",1,83.9,49.7,55.6,72.9,5764,480,3614,301.2,2150,179.2,441,36.8,6997,538,3358,258.3,3639,279.9,559,43
36,"Georgia, SEC",1,54.8,79.6,54.6,72.7,3576,298,1753,146.1,1823,151.9,203,16.9,4904,377,2406,185.1,2498,192.2,342,26.3
57,"Michigan State, Big Ten",1,68.6,71.8,38.6,72.6,4458,343,2988,229.8,1470,113.1,266,20.5,5397,386,3279,234.2,2118,151.3,417,29.8
112,"USC, Pac-12",1,71.1,66.9,43.8,71.8,5217,401,3304,254.2,1913,147.2,337,25.9,6131,438,3776,269.7,2355,168.2,475,33.9
125,"Washington, Pac-12",1,48,78.4,66.9,71.4,4199,350,2592,216,1607,133.9,213,17.8,5240,403,3110,239.2,2130,163.8,398,30.6
43,"Iowa, Big Ten",1,64.4,71.4,47.5,71.3,4345,334,2851,219.3,1494,114.9,240,18.5,5406,386,2862,204.4,2544,181.7,433,30.9
115,"Utah, Pac-12",1,49.3,80.5,58,70.8,4382,365,3041,253.4,1341,111.8,262,21.8,4719,363,2340,180,2379,183,400,30.8
74,"Oklahoma State, Big 12",1,70.1,61.1,54.2,69.7,5154,430,2931,244.3,2223,185.3,348,29,6240,480,4591,353.2,1649,126.8,514,39.5
18,"Cal, Pac-12",1,79.5,55,35,69.6,5464,455,3022,251.8,2442,203.5,363,30.3,6879,529,4892,376.3,1987,152.8,493,37.9
38,"Houston, American",1,63.2,66.3,59.2,69.6,4957,381,3449,265.3,1508,116,266,20.5,6778,484,3477,248.4,3301,235.8,566,40.4
127,"Wisconsin, Big Ten",1,53.4,74.7,58.2,68.4,3205,267,2030,169.2,1175,97.9,157,13.1,4922,379,2968,228.3,1954,150.3,348,26.8
126,"West Virginia, Big 12",1,55.9,74.8,46.6,68.2,4634,386,2673,222.8,1961,163.4,278,23.2,6236,480,3269,251.5,2967,228.2,442,34
54,"Memphis, American",1,68.9,52.9,65.8,67,4885,407,3232,269.3,1653,137.8,324,27,6330,487,3997,307.5,2333,179.5,522,40.2
30,"Florida, SEC",1,46.5,77.4,51,66.6,3840,295,2272,174.8,1568,120.6,215,16.5,4676,334,2899,207.1,1777,126.9,325,23.2
101,"Toledo, MAC",0,57.3,67.5,52.3,65.8,4163,378,2892,262.9,1271,115.5,232,21.1,5531,461,3036,253,2495,207.9,420,35
106,"UCLA, Pac-12",0,66.7,64.2,34.7,65.8,4722,394,2468,205.7,2254,187.8,301,25.1,6057,466,3749,288.4,2308,177.5,419,32.2
97,"Texas A&M, SEC",0,49.9,71.9,61,65.6,4406,367,1935,161.3,2471,205.9,259,21.6,5521,425,3323,255.6,2198,169.1,361,27.8
10,"Auburn, SEC",0,59,63.7,56.5,65.4,5062,422,2786,232.2,2276,189.7,328,27.3,4810,370,2257,173.6,2553,196.4,357,27.5
50,"Louisville, ACC",0,50.7,73.8,47.2,64.9,3881,323,2456,204.7,1425,118.8,292,24.3,5409,416,3186,245.1,2223,171,373,28.7
15,"Bowling Green, MAC",0,81.4,41.7,34.5,64.6,5315,409,3214,247.2,2101,161.6,347,26.7,7655,547,5135,366.8,2520,180,591,42.2
33,"Ga Southern, Sun Belt",0,60,62.4,53.8,64.4,4041,337,2444,203.7,1597,133.1,279,23.3,5543,426,824,63.4,4719,363,474,36.5
124,"Washington St, Pac-12",0,63,63.2,35.3,63.5,5074,423,2686,223.8,2388,199,346,28.8,6105,470,5059,389.2,1046,80.5,409,31.5
99,"Texas Tech, Big 12",0,84.2,26.3,64.1,62.8,6482,540,3220,268.3,3262,271.8,511,42.6,7533,579,5046,388.2,2487,191.3,586,45.1
65,"NC State, ACC",0,69.9,48,47.6,61.4,5347,411,2529,194.5,2818,216.8,294,22.6,5367,413,2740,210.8,2627,202.1,432,33.2
66,"Nebraska, Big Ten",0,63.7,50.5,59.9,61.1,4819,402,3458,288.2,1361,113.4,333,27.8,5810,447,3470,266.9,2340,180,427,32.8
17,"BYU, FBS Indep.",0,56.3,59.5,56.6,61,4297,358,2559,213.3,1738,144.8,262,21.8,5522,425,3854,296.5,1668,128.3,438,33.7
13,"Boise State, MW",0,52.8,66.6,48.5,60.9,4105,342,2693,224.4,1412,117.7,256,21.3,6520,502,4032,310.2,2488,191.4,508,39.1
86,"San Diego State, MW",0,47.5,66,60.4,60.5,3743,288,2298,176.8,1445,111.2,223,17.2,5254,375,1988,142,3266,233.3,450,32.1
82,"Pitt, ACC",0,61.3,55.7,50.2,60.4,4131,344,2618,218.2,1513,126.1,295,24.6,4908,378,2478,190.6,2430,186.9,367,28.2
71,"Northwestern, Big Ten",0,31.8,80.1,57.2,60.1,3726,311,2312,192.7,1414,117.8,197,16.4,4252,327,1801,138.5,2451,188.5,254,19.5
5,"Arizona State, Pac-12",0,59.6,54.1,56.6,59.9,5353,446,3860,321.7,1493,124.4,392,32.7,6434,495,3548,272.9,2886,222,486,37.4
55,"Miami (FL), ACC",0,55.7,57,58.2,59.5,4881,407,2355,196.3,2526,210.5,346,28.8,5150,396,3602,277.1,1548,119.1,361,27.8
113,"USF, American",0,54.9,62.4,42.2,59,4334,361,2647,220.6,1687,140.6,253,21.1,5741,442,2536,195.1,3205,246.5,437,33.6
120,"VT, ACC",0,45.1,63.8,64.3,58.7,4245,354,2085,173.8,2160,180,290,24.2,5006,385,2936,225.8,2070,159.2,403,31
100,"Texas, Big 12",0,41.6,66,61,58.6,5431,453,2801,233.4,2630,219.2,364,30.3,4449,371,1751,145.9,2698,224.8,317,26.4
95,"Temple, American",0,42.2,69.3,54,58,4283,329,2643,203.3,1640,126.2,249,19.2,5134,367,3038,217,2096,149.7,417,29.8
48,"LA Tech, C-USA",0,62.3,56.4,35.6,58,4563,380,3189,265.8,1374,114.5,321,26.8,6276,483,4201,323.2,2075,159.6,488,37.5
91,"Southern Miss, C-USA",0,60.7,50.6,46.9,56.7,4733,364,2903,223.3,1830,140.8,314,24.2,7133,510,4616,329.7,2517,179.8,559,39.9
4,"Appalachian St, Sun Belt",0,51.3,62.1,41.4,56.5,3816,318,2213,184.4,1603,133.6,219,18.3,6075,467,2546,195.8,3529,271.5,477,36.7
122,"W Michigan, MAC",0,66.7,37.4,57.2,55.4,4936,411,2697,224.8,2239,186.6,337,28.1,6380,491,3732,287.1,2648,203.7,468,36
81,"Penn State, Big Ten",0,41.2,69.2,39,54.6,3891,324,2094,174.5,1797,149.8,260,21.7,4532,349,2788,214.5,1744,134.2,301,23.2
52,"Marshall, C-USA",0,40.3,57.6,74.2,54.2,4473,373,2414,201.2,2059,171.6,221,18.4,5205,400,3009,231.5,2196,168.9,407,31.3
7,"Arkansas State, Sun Belt",0,42.2,60.1,59.6,53.5,4763,397,3023,251.9,1740,145,346,28.8,5700,438,2693,207.2,3007,231.3,520,40
25,"Duke, ACC",0,48.6,51.8,65.7,53.4,4464,372,2743,228.6,1721,143.4,289,24.1,5712,439,3204,246.5,2508,192.9,410,31.5
44,"Kansas State, Big 12",0,52.1,44.5,72.8,53.3,5310,443,3397,283.1,1913,159.4,364,30.3,4338,334,2288,176,2050,157.7,389,29.9
41,"Indiana, Big Ten",0,68.1,34.2,51.3,52.3,6087,507,3916,326.3,2171,180.9,445,37.1,6556,504,3820,293.8,2736,210.5,475,36.5
42,"Iowa State, Big 12",0,51.1,50.1,53.5,51.4,5441,453,3202,266.8,2239,186.6,392,32.7,4900,408,2716,226.3,2184,182,300,25
1,"Air Force, MW",0,59,43.8,43.8,50.9,4382,337,2475,190.4,1907,146.7,302,23.2,6315,451,1847,131.9,4468,319.1,473,33.8
6,"Arizona, Pac-12",0,65.6,35.5,54.4,50.8,5560,463,3298,274.8,2262,188.5,428,35.7,6206,477,3887,299,2319,178.4,448,34.5
35,"Georgia Tech, ACC",0,43.7,54.8,54.6,50,4416,368,2435,202.9,1981,165.1,309,25.8,4536,378,1462,121.8,3074,256.2,351,29.3
62,"Missouri, SEC",0,25,72.5,46.4,49.2,3614,301,2031,169.3,1583,131.9,194,16.2,3361,280,1986,165.5,1375,114.6,163,13.6
119,"Vanderbilt, SEC",0,27.3,78.3,33.4,49.1,4206,351,2488,207.3,1718,143.2,252,21,3918,327,2062,171.8,1856,154.7,182,15.2
118,"UVA, ACC",0,52.4,50.7,37,49.1,4938,412,3059,254.9,1879,156.6,386,32.2,4596,383,2859,238.3,1737,144.8,309,25.8
40,"Illinois, Big Ten",0,42.1,59.4,41.8,48.7,4210,351,2207,183.9,2003,166.9,279,23.3,4472,373,2921,243.4,1551,129.3,272,22.7
27,"ECU, American",0,48.5,45.1,60.4,48.1,4811,401,2717,226.4,2094,174.5,312,26,4975,415,3375,281.3,1600,133.3,329,27.4
73,"Ohio, MAC",0,41,54.4,55.7,47.9,4483,374,2599,216.6,1884,157,298,24.8,5376,414,3024,232.6,2352,180.9,358,27.5
63,"N Illinois, MAC",0,36.9,59.3,47.3,47.5,5193,399,3034,233.4,2159,166.1,332,25.5,5579,399,2918,208.4,2661,190.1,436,31.1
59,"Mid Tennessee, C-USA",0,53.9,40,55.5,47.4,4660,388,2964,247,1696,141.3,301,25.1,5946,457,4052,311.7,1894,145.7,442,34
21,"Cincinnati, American",0,58.5,39.2,39.5,47.1,4976,415,2692,224.3,2284,190.3,363,30.3,6992,538,4679,359.9,2313,177.9,440,33.8
60,"Minnesota, Big Ten",0,43.7,51.8,46.9,46.7,4248,354,2189,182.4,2059,171.6,313,26.1,4666,359,2793,214.8,1873,144.1,292,22.5
93,"Syracuse, ACC",0,48.7,42.3,61.2,46.7,5262,439,3080,256.7,2182,181.8,372,31,3839,320,1881,156.8,1958,163.2,327,27.3
19,"Cent Michigan, MAC",0,45.8,49.7,44.3,45.9,3938,328,2286,190.5,1652,137.7,265,22.1,5212,401,3905,300.4,1307,100.5,336,25.8
90,"South Carolina, SEC",0,52.7,40.8,50.7,45.7,5158,430,2549,212.4,2609,217.4,330,27.5,4346,362,2490,207.5,1856,154.7,263,21.9
14,"Boston College, ACC",0,13.1,84.1,40.2,45.5,3052,254,2058,171.5,994,82.8,183,15.3,3307,276,1334,111.2,1973,164.4,206,17.2
2,"Akron, MAC",0,32.6,59.1,49.3,44.5,3943,329,2865,238.8,1078,89.8,258,21.5,4642,357,2508,192.9,2134,164.2,311,23.9
114,"Utah State, MW",0,36.4,56.6,43.8,44.2,4040,337,2165,180.4,1875,156.3,324,27,4818,371,2672,205.5,2146,165.1,377,29
47,"Kentucky, SEC",0,47.7,42.3,45.6,42.9,4730,394,2377,198.1,2353,196.1,329,27.4,4464,372,2512,209.3,1952,162.7,296,24.7
87,"San Jose State, MW",0,53.5,37.3,41.2,42.9,4430,369,1843,153.6,2587,215.6,338,28.2,5260,405,2882,221.7,2378,182.9,363,27.9
53,"Maryland, Big Ten",0,36.7,50.5,48.4,42.1,5054,421,3101,258.4,1953,162.8,413,34.4,4500,375,2092,174.3,2408,200.7,269,22.4
107,"UConn, American",0,26.4,59.4,52.2,41.4,4227,352,2243,186.9,1984,165.3,237,19.8,4034,310,2412,185.5,1622,124.8,223,17.2
24,"Colorado, Pac-12",0,35.5,51.8,46.5,41.1,5420,417,2837,218.2,2583,198.7,357,27.5,5159,397,3128,240.6,2031,156.2,320,24.6
23,"Colorado State, MW",0,47.9,30.9,55.6,38.3,4737,395,2235,186.3,2502,208.5,326,27.2,5536,426,2965,228.1,2571,197.8,385,29.6
102,"Troy, Sun Belt",0,32.2,44.5,58.9,37.7,4695,391,2389,199.1,2306,192.2,339,28.3,4319,360,2890,240.8,1429,119.1,335,27.9
104,"Tulsa, American",0,54.1,26.7,40.5,35.8,6378,532,3516,293,2862,238.5,463,38.6,6596,507,4332,333.2,2264,174.2,483,37.2
69,"New Mexico, MW",0,38.4,36.3,56.2,35.7,5186,432,2855,237.9,2331,194.3,324,27,5046,388,1768,136,3278,252.2,389,29.9
83,"Purdue, Big Ten",0,45.3,37.9,29.7,35.6,5508,459,2921,243.4,2587,215.6,438,36.5,4423,369,2847,237.3,1576,131.3,301,25.1
85,"Rutgers, Big Ten",0,51.6,21.1,65.1,34.8,5544,462,3311,275.9,2233,186.1,419,34.9,4524,377,2485,207.1,2039,169.9,325,27.1
67,"Nevada, MW",0,36.3,37,51.1,34,4738,395,2472,206,2266,188.8,326,27.2,4877,375,2139,164.5,2738,210.6,341,26.2
123,"Wake Forest, ACC",0,23.7,49.1,56.7,33.4,4365,364,2430,202.5,1935,161.3,295,24.6,4001,333,2739,228.3,1262,105.2,209,17.4
34,"Georgia State, Sun Belt",0,38.6,39,31.8,32.6,4987,416,2827,235.6,2160,180,341,28.4,5627,433,4367,335.9,1260,96.9,350,26.9
16,"Buffalo, MAC",0,32.2,39.7,40.7,30.9,4961,413,2728,227.3,2233,186.1,331,27.6,4637,386,2994,249.5,1643,136.9,320,26.7
28,"FAU, C-USA",0,20.7,48.1,56.8,30.2,4861,405,2840,236.7,2021,168.4,345,28.8,4518,377,2557,213.1,1961,163.4,270,22.5
78,"Oregon State, Pac-12",0,33.3,35.2,42,29.4,5778,482,3072,256,2706,225.5,444,37,4037,336,1909,159.1,2128,177.3,228,19
29,"FIU, C-USA",0,31,30.4,64.6,28.8,4868,406,2652,221,2216,184.7,358,29.8,4173,348,2854,237.8,1319,109.9,306,25.5
111,"UNLV, MW",0,36.2,26.6,56.3,28.5,4738,395,2472,206,2266,188.8,326,27.2,4877,375,2139,164.5,2738,210.6,341,26.2
109,"UMass, MAC",0,30.4,35.5,38.2,27.2,5374,448,3059,254.9,2315,192.9,377,31.4,4797,400,3090,257.5,1707,142.3,266,22.2
117,"UTSA, C-USA",0,23.6,35.9,42.1,24,5329,444,3302,275.2,2027,168.9,405,33.8,4347,362,2321,193.4,2026,168.8,271,22.6
89,"South Alabama, Sun Belt",0,25.2,36.2,33.3,23.5,4992,416,2340,195,2652,221,447,37.3,4322,360,2394,199.5,1928,160.7,300,25
39,"Idaho, Sun Belt",0,41.7,16.4,42.8,22.6,5829,486,2550,212.5,3279,273.3,505,42.1,5149,429,3372,281,1777,148.1,364,30.3
46,"Kent State, MAC",0,8.3,53.8,44.6,22.4,4201,350,2474,206.2,1727,143.9,313,26.1,3250,271,1657,138.1,1593,132.8,157,13.1
88,"SMU, American",0,40.7,17.1,42.4,22.2,6026,502,2892,241,3134,261.2,548,45.7,4594,383,2620,218.3,1974,164.5,333,27.8
103,"Tulane, American",0,20.7,39.2,28.1,21.7,4947,412,2801,233.4,2146,178.8,435,36.3,3804,317,2415,201.3,1389,115.8,236,19.7
49,"LA-Lafayette, Sun Belt",0,32.1,19.7,51.3,21,5050,421,2845,237.1,2205,183.8,382,31.8,4565,380,2491,207.6,2074,172.8,317,26.4
9,"Army, FBS Indep.",0,26.7,26.5,41.9,20.9,4507,376,2525,210.4,1982,165.2,334,27.8,4059,338,1128,94,2931,244.3,265,22.1
84,"Rice, C-USA",0,42.2,11.7,50.1,20.8,5369,447,3086,257.2,2283,190.3,430,35.8,4822,402,2691,224.3,2131,177.6,313,26.1
98,"Texas State, Sun Belt",0,32.3,14.8,67.9,19.9,6262,522,3166,263.8,3096,258,470,39.2,4977,415,2729,227.4,2248,187.3,323,26.9
11,"Ball State, MAC",0,26.8,20.3,61.3,19.7,6216,518,3510,292.5,2706,225.5,430,35.8,4459,372,2619,218.3,1840,153.3,277,23.1
31,"Fresno State, MW",0,17.9,31.4,49.5,19.5,5354,446,2538,211.5,2816,234.7,457,38.1,3782,315,2140,178.3,1642,136.8,267,22.3
37,"Hawaii, MW",0,16.5,28,64.8,19.5,5834,449,2716,208.9,3118,239.8,463,35.6,4112,316,2501,192.4,1611,123.9,229,17.6
56,"Miami (OH), MAC",0,14.5,40,33.5,19.1,4855,405,2828,235.7,2027,168.9,384,32,4058,338,2502,208.5,1556,129.7,215,17.9
68,"New Mexico St, Sun Belt",0,29.8,18.4,46.8,18.7,6269,522,3360,280,2909,242.4,540,45,5200,433,3034,252.8,2166,180.5,343,28.6
108,"UL Monroe, Sun Belt",0,10.7,42.5,37.9,18.1,5496,423,2792,214.8,2704,208,475,36.5,4041,311,2703,207.9,1338,102.9,273,21
76,"Old Dominion, C-USA",0,26.5,23.4,32.4,17.6,5243,437,2807,233.9,2436,203,429,35.8,4455,371,2634,219.5,1821,151.8,291,24.3
116,"UTEP, C-USA",0,16.9,29.7,40.3,16.7,6262,522,3166,263.8,3096,258,470,39.2,4095,341,2346,195.5,1749,145.8,248,20.7
45,"Kansas, Big 12",0,20.3,26.1,31.6,15.8,6730,561,3524,293.7,3206,267.2,553,46.1,3978,332,2623,218.6,1355,112.9,183,15.3
26,"E Michigan, MAC",0,35.2,8.8,54.3,13.7,6231,519,2433,202.8,3798,316.5,505,42.1,4560,380,2666,222.2,1894,157.8,305,25.4
20,"Charlotte, C-USA",0,9.4,35.5,39.1,13.5,5005,417,2741,228.4,2264,188.7,435,36.3,4046,337,2089,174.1,1957,163.1,210,17.5
128,"Wyoming, MW",0,25.1,15.9,33.3,13.1,5065,422,2363,196.9,2702,225.2,408,34,4328,361,2247,187.3,2081,173.4,228,19
105,"UCF, American",0,8.4,22.7,60.2,10.8,5569,464,3179,264.9,2390,199.2,452,37.7,3221,268,2246,187.2,975,81.3,167,13.9
70,"North Texas, C-USA",0,9.1,17,57.8,8.5,6031,503,3152,262.7,2879,239.9,495,41.3,3841,320,1937,161.4,1904,158.7,182,15.2
